transaction_id,date,product,category,quantity,unit_price,customer,sales_rep
TXN-2024-0001,2024-01-05,"Laptop Pro 15""",Electronics,2,1299.99,Tech Solutions Inc,Sarah Johnson
TXN-2024-0002,2024-01-08,Wireless Headphones,Electronics,5,199.99,Audio Experts LLC,Mike Chen
TXN-2024-0003,2024-01-12,Office Chair Premium,Furniture,10,449.99,Corporate Furnishings,Lisa Martinez
TXN-2024-0004,2024-01-15,Standing Desk,Furniture,3,799.99,Modern Workspace,David Wilson
TXN-2024-0005,2024-01-20,Smartphone Pro,Electronics,8,899.99,Mobile Solutions Co,Sarah Johnson
TXN-2024-0006,2024-02-03,Conference Table,Furniture,1,1899.99,Executive Offices,Lisa Martinez
TXN-2024-0007,2024-02-10,Tablet Ultra,Electronics,12,599.99,Education Systems,Mike Chen
TXN-2024-0008,2024-02-14,Ergonomic Keyboard,Electronics,25,129.99,Tech Solutions Inc,David Wilson
TXN-2024-0009,2024-02-20,Bookshelf Unit,Furniture,6,299.99,Library Systems,Sarah Johnson
TXN-2024-0010,2024-03-05,"Monitor 4K 27""",Electronics,4,549.99,Design Studios,Lisa Martinez
TXN-2024-0011,2024-03-12,Storage Cabinet,Furniture,8,399.99,Office Solutions,Mike Chen
TXN-2024-0012,2024-03-18,Wireless Mouse,Electronics,50,49.99,Bulk Electronics,David Wilson
TXN-2024-0013,2024-03-25,Executive Desk,Furniture,2,1299.99,Premium Offices,Sarah Johnson
